Киностудия;уникальные декорации;
Киностудия;аренда светового оборудования;
Киностудия;кафе;
Галерея;аренда мастерской;
Галерея;организация выставок;
Галерея;кейтеринг;
Издательство;коворкинг;
Издательство;возможность подключения 380 Вольт;
Издательство;студия оперативного дизайна;
Книжный магазин;возможность проведения презентаций;
Книжный магазин;ярмарки;
Книжный магазин;регулярные встречи с авторами;
Дизайн студия;аренда полиграфического оборудования;
Дизайн студия;3D  принтер;
Дизайн студия;разработка объёмных макетов;
Кинотеатр;вип-зал;
Кинотеатр;вместительная парковка;
Кинотеатр;open-air;
Кинотеатр;кинозал;
Звукозаписывающая студия;рояль Stainway;
Звукозаписывающая студия;услуги звукоинженера;
Звукозаписывающая студия;продакшн;
AR/VR студия;съёмка рекламы;
AR/VR студия;имитация медицинских процедур;
AR/VR студия;возможность подряда профессиональной креативной команды